[INFO] [launch]: All log files can be found below /home/chsjh/.ros/log/2026-09-07-16-37-36-857563-PA12-18541
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [turtlesim_node-1]: process started with pid [18549]
[INFO] [distance_publisher-2]: process started with pid [18551]
[INFO] [warn_subscriber-3]: process started with pid [18553]
[INFO] [draw_polygon_server-4]: process started with pid [18555]
[turtlesim_node-1] [INFO] [1788766657.217137999] [turtlesim]: Starting turtlesim with node name /turtlesim
[turtlesim_node-1] [INFO] [1788766657.221156858] [turtlesim]: Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]
[warn_subscriber-3] [INFO] [1788766657.826784509] [warn_subscriber]: listening on /turtle_distance; warning above 1.00 m (reliable/volatile)
[distance_publisher-2] [INFO] [1788766657.916738455] [distance_publisher]: distance publisher: /turtle1/pose -> /turtle_distance, 10.0 Hz, reliable/volatile
[draw_polygon_server-4] [INFO] [1788766658.045582762] [draw_polygon_server]: DrawPolygon action server ready on /draw_polygon; cmd_vel=/turtle1/cmd_vel
[warn_subscriber-3] [WARN] [1788766658.789883290] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766658.892109003] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766658.992567211] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.091792148] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.190807670] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.293318743] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.392625626] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.490954781] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.592186997] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
